"column_name","data_type","character_maximum_length","is_nullable","column_default"
"id","uuid",NULL,"NO","gen_random_uuid()"
"customer_id","uuid",NULL,"NO",NULL
"winery_id","uuid",NULL,"NO",NULL
"processor","character varying",50,"NO",NULL
"processor_payment_method_id","character varying",255,"NO",NULL
"processor_customer_id","character varying",255,"YES",NULL
"card_last_4","character varying",4,"NO",NULL
"card_type","character varying",20,"YES",NULL
"card_brand","character varying",50,"YES",NULL
"card_expiry_month","character varying",2,"YES",NULL
"card_expiry_year","character varying",4,"YES",NULL
"card_fingerprint","character varying",64,"YES",NULL
"source_channel","character varying",20,"NO",NULL
"source_transaction_id","uuid",NULL,"YES",NULL
"is_default","boolean",NULL,"YES","false"
"is_active","boolean",NULL,"YES","true"
"nickname","character varying",100,"YES",NULL
"first_used_at","timestamp with time zone",NULL,"YES","CURRENT_TIMESTAMP"
"last_used_at","timestamp with time zone",NULL,"YES",NULL
"usage_count","integer",NULL,"YES","0"
"billing_zip","character varying",10,"YES",NULL
"version","bigint",NULL,"YES","1"
"created_at","timestamp with time zone",NULL,"YES","CURRENT_TIMESTAMP"
"updated_at","timestamp with time zone",NULL,"YES","CURRENT_TIMESTAMP"
"deleted_at","timestamp with time zone",NULL,"YES",NULL
